




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-12-09
Analyzed List:	cluster2.txt (Danio rerio)
Reference List:	backgroundlist_35562genes.txt (Danio rerio)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	backgroundlist_35562genes.txt - REFLIST (23232)	cluster2.txt (552)	cluster2.txt (expected)	cluster2.txt (over/under)	cluster2.txt (fold Enrichment)	cluster2.txt (raw P-value)	cluster2.txt (FDR)
regulation of canonical Wnt signaling pathway involved in neural plate anterior/posterior pattern formation (GO:0060827)	4	1	.10	+	10.52	1.11E-01	1.00E00
protein-cofactor linkage (GO:0018065)	4	1	.10	+	10.52	1.11E-01	1.00E00
regulation of vascular endothelial growth factor production (GO:0010574)	4	1	.10	+	10.52	1.11E-01	1.00E00
positive regulation of signal transduction by p53 class mediator (GO:1901798)	4	1	.10	+	10.52	1.11E-01	1.00E00
epithelial cell morphogenesis (GO:0003382)	4	1	.10	+	10.52	1.11E-01	1.00E00
negative regulation of telomere maintenance via telomerase (GO:0032211)	4	1	.10	+	10.52	1.11E-01	1.00E00
negative regulation of telomere maintenance via telomere lengthening (GO:1904357)	4	1	.10	+	10.52	1.11E-01	1.00E00
habenula development (GO:0021986)	16	4	.38	+	10.52	1.03E-03	4.45E-02
pituitary gland development (GO:0021983)	16	4	.38	+	10.52	1.03E-03	4.42E-02
post-embryonic animal morphogenesis (GO:0009886)	4	1	.10	+	10.52	1.11E-01	1.00E00
urea metabolic process (GO:0019627)	4	1	.10	+	10.52	1.11E-01	1.00E00
bulbus arteriosus development (GO:0003232)	4	1	.10	+	10.52	1.11E-01	1.00E00
positive regulation of DNA-dependent DNA replication (GO:2000105)	4	1	.10	+	10.52	1.11E-01	1.00E00
sclerotome development (GO:0061056)	4	1	.10	+	10.52	1.11E-01	1.00E00
cell proliferation in forebrain (GO:0021846)	4	1	.10	+	10.52	1.11E-01	1.00E00
L-methionine salvage from methylthioadenosine (GO:0019509)	4	1	.10	+	10.52	1.11E-01	1.00E00
positive regulation of DNA damage response, signal transduction by p53 class mediator (GO:0043517)	4	1	.10	+	10.52	1.11E-01	1.00E00
foregut morphogenesis (GO:0007440)	4	1	.10	+	10.52	1.11E-01	1.00E00
PMA-inducible membrane protein ectodomain proteolysis (GO:0051088)	4	1	.10	+	10.52	1.11E-01	1.00E00
rhombomere boundary formation (GO:0021654)	8	2	.19	+	10.52	2.14E-02	4.97E-01
optic nerve morphogenesis (GO:0021631)	8	2	.19	+	10.52	2.14E-02	4.95E-01
glomerular epithelial cell fate commitment (GO:0072314)	4	1	.10	+	10.52	1.11E-01	1.00E00
stem cell division (GO:0017145)	4	1	.10	+	10.52	1.11E-01	1.00E00
dGTP metabolic process (GO:0046070)	4	1	.10	+	10.52	1.11E-01	1.00E00
response to axon injury (GO:0048678)	20	5	.48	+	10.52	2.39E-04	1.24E-02
central nervous system neuron development (GO:0021954)	41	10	.97	+	10.27	2.27E-07	1.81E-05
rostrocaudal neural tube patterning (GO:0021903)	34	8	.81	+	9.90	4.71E-06	3.07E-04
regulation of vascular endothelial growth factor receptor signaling pathway (GO:0030947)	13	3	.31	+	9.71	5.56E-03	1.93E-01
melanosome organization (GO:0032438)	13	3	.31	+	9.71	5.56E-03	1.92E-01
retinal pigment epithelium development (GO:0003406)	13	3	.31	+	9.71	5.56E-03	1.91E-01
forebrain neuron development (GO:0021884)	13	3	.31	+	9.71	5.56E-03	1.90E-01
ventricular system development (GO:0021591)	22	5	.52	+	9.57	3.50E-04	1.72E-02
cell differentiation in spinal cord (GO:0021515)	49	11	1.16	+	9.45	1.17E-07	9.65E-06
ventral spinal cord interneuron differentiation (GO:0021514)	18	4	.43	+	9.35	1.51E-03	6.19E-02
axon regeneration (GO:0031103)	18	4	.43	+	9.35	1.51E-03	6.16E-02
negative regulation of response to wounding (GO:1903035)	9	2	.21	+	9.35	2.57E-02	5.79E-01
neuron projection organization (GO:0106027)	9	2	.21	+	9.35	2.57E-02	5.78E-01
regulation of neural precursor cell proliferation (GO:2000177)	9	2	.21	+	9.35	2.57E-02	5.76E-01
adherens junction maintenance (GO:0034334)	9	2	.21	+	9.35	2.57E-02	5.75E-01
cell junction maintenance (GO:0034331)	9	2	.21	+	9.35	2.57E-02	5.73E-01
ventral spinal cord development (GO:0021517)	46	10	1.09	+	9.15	5.71E-07	4.26E-05
negative regulation of Notch signaling pathway (GO:0045746)	23	5	.55	+	9.15	4.18E-04	2.01E-02
pigment granule organization (GO:0048753)	14	3	.33	+	9.02	6.63E-03	2.23E-01
regulation of insulin secretion (GO:0050796)	14	3	.33	+	9.02	6.63E-03	2.22E-01
neural tube patterning (GO:0021532)	38	8	.90	+	8.86	9.61E-06	5.98E-04
telencephalon development (GO:0021537)	24	5	.57	+	8.77	4.95E-04	2.31E-02
forebrain generation of neurons (GO:0021872)	24	5	.57	+	8.77	4.95E-04	2.30E-02
spinal cord motor neuron differentiation (GO:0021522)	29	6	.69	+	8.71	1.39E-04	7.48E-03
cerebellum development (GO:0021549)	34	7	.81	+	8.66	3.96E-05	2.31E-03
rhombomere formation (GO:0021594)	10	2	.24	+	8.42	3.04E-02	6.46E-01
olfactory nerve development (GO:0021553)	5	1	.12	+	8.42	1.31E-01	1.00E00
pons development (GO:0021548)	15	3	.36	+	8.42	7.83E-03	2.47E-01
spinal cord motor neuron cell fate specification (GO:0021520)	10	2	.24	+	8.42	3.04E-02	6.44E-01
spinal cord development (GO:0021510)	65	13	1.54	+	8.42	2.74E-08	2.53E-06
endothelial cell proliferation (GO:0001935)	15	3	.36	+	8.42	7.83E-03	2.46E-01
Notch signaling pathway (GO:0007219)	65	13	1.54	+	8.42	2.74E-08	2.50E-06
regulation of receptor recycling (GO:0001919)	5	1	.12	+	8.42	1.31E-01	1.00E00
intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:0042771)	10	2	.24	+	8.42	3.04E-02	6.42E-01
inner ear receptor cell stereocilium organization (GO:0060122)	10	2	.24	+	8.42	3.04E-02	6.41E-01
regulation of response to oxidative stress (GO:1902882)	10	2	.24	+	8.42	3.04E-02	6.39E-01
diadenosine polyphosphate metabolic process (GO:0015959)	5	1	.12	+	8.42	1.31E-01	1.00E00
renal system pattern specification (GO:0072048)	5	1	.12	+	8.42	1.31E-01	1.00E00
positive regulation of potassium ion import across plasma membrane (GO:1903288)	5	1	.12	+	8.42	1.31E-01	1.00E00
regulation of potassium ion import (GO:1903286)	5	1	.12	+	8.42	1.31E-01	1.00E00
cell proliferation in midbrain (GO:0033278)	5	1	.12	+	8.42	1.31E-01	1.00E00
glycine transport (GO:0015816)	5	1	.12	+	8.42	1.31E-01	1.00E00
positive regulation of peptidyl-lysine acetylation (GO:2000758)	5	1	.12	+	8.42	1.31E-01	1.00E00
lens morphogenesis in camera-type eye (GO:0002089)	10	2	.24	+	8.42	3.04E-02	6.38E-01
glandular epithelial cell differentiation (GO:0002067)	30	6	.71	+	8.42	1.64E-04	8.75E-03
regulation of cellular response to oxidative stress (GO:1900407)	5	1	.12	+	8.42	1.31E-01	1.00E00
regulation of epithelial tube formation (GO:1905276)	5	1	.12	+	8.42	1.31E-01	1.00E00
positive regulation of sodium ion transmembrane transporter activity (GO:2000651)	5	1	.12	+	8.42	1.31E-01	1.00E00
interaction with host (GO:0051701)	5	1	.12	+	8.42	1.31E-01	1.00E00
protein insertion into ER membrane (GO:0045048)	5	1	.12	+	8.42	1.31E-01	1.00E00
axo-dendritic protein transport (GO:0099640)	5	1	.12	+	8.42	1.31E-01	1.00E00
embryonic limb morphogenesis (GO:0030326)	5	1	.12	+	8.42	1.31E-01	1.00E00
positive regulation of sodium ion transport (GO:0010765)	5	1	.12	+	8.42	1.31E-01	1.00E00
positive regulation of transcription from RNA polymerase II promoter in response to heat stress (GO:0061408)	5	1	.12	+	8.42	1.31E-01	1.00E00
'de novo' pyrimidine nucleobase biosynthetic process (GO:0006207)	5	1	.12	+	8.42	1.31E-01	1.00E00
dendritic spine morphogenesis (GO:0060997)	5	1	.12	+	8.42	1.31E-01	1.00E00
caudal fin morphogenesis (GO:0035143)	5	1	.12	+	8.42	1.31E-01	1.00E00
positive regulation of protein acetylation (GO:1901985)	5	1	.12	+	8.42	1.31E-01	1.00E00
nucleate erythrocyte development (GO:0048823)	5	1	.12	+	8.42	1.31E-01	1.00E00
regulation of histone H3-K9 methylation (GO:0051570)	5	1	.12	+	8.42	1.31E-01	1.00E00
positive regulation of sodium ion transmembrane transport (GO:1902307)	5	1	.12	+	8.42	1.31E-01	1.00E00
positive regulation of histone acetylation (GO:0035066)	5	1	.12	+	8.42	1.31E-01	1.00E00
swim bladder inflation (GO:0048798)	5	1	.12	+	8.42	1.31E-01	1.00E00
swim bladder maturation (GO:0048796)	5	1	.12	+	8.42	1.31E-01	1.00E00
negative regulation of Rho protein signal transduction (GO:0035024)	5	1	.12	+	8.42	1.31E-01	1.00E00
neuron projection fasciculation (GO:0106030)	10	2	.24	+	8.42	3.04E-02	6.36E-01
anterograde dendritic transport of neurotransmitter receptor complex (GO:0098971)	5	1	.12	+	8.42	1.31E-01	1.00E00
positive regulation of filopodium assembly (GO:0051491)	5	1	.12	+	8.42	1.31E-01	1.00E00
anterograde dendritic transport (GO:0098937)	5	1	.12	+	8.42	1.31E-01	1.00E00
dendritic transport (GO:0098935)	5	1	.12	+	8.42	1.31E-01	1.00E00
positive regulation of G1/S transition of mitotic cell cycle (GO:1900087)	10	2	.24	+	8.42	3.04E-02	6.35E-01
planar cell polarity pathway involved in neural tube closure (GO:0090179)	5	1	.12	+	8.42	1.31E-01	1.00E00
regulation of establishment of planar polarity involved in neural tube closure (GO:0090178)	5	1	.12	+	8.42	1.31E-01	1.00E00
regulation of retinoic acid biosynthetic process (GO:1900052)	5	1	.12	+	8.42	1.31E-01	1.00E00
regulation of isoprenoid metabolic process (GO:0019747)	5	1	.12	+	8.42	1.31E-01	1.00E00
sensory perception of touch (GO:0050975)	5	1	.12	+	8.42	1.31E-01	1.00E00
ruffle assembly (GO:0097178)	5	1	.12	+	8.42	1.31E-01	1.00E00
septum transversum development (GO:0003343)	5	1	.12	+	8.42	1.31E-01	1.00E00
proepicardium development (GO:0003342)	5	1	.12	+	8.42	1.31E-01	1.00E00
negative regulation of DNA biosynthetic process (GO:2000279)	5	1	.12	+	8.42	1.31E-01	1.00E00
gastro-intestinal system smooth muscle contraction (GO:0014831)	5	1	.12	+	8.42	1.31E-01	1.00E00
attachment of mitotic spindle microtubules to kinetochore (GO:0051315)	5	1	.12	+	8.42	1.31E-01	1.00E00
olfactory lobe development (GO:0021988)	5	1	.12	+	8.42	1.31E-01	1.00E00
pineal gland development (GO:0021982)	5	1	.12	+	8.42	1.31E-01	1.00E00
regulation of mitotic spindle assembly (GO:1901673)	5	1	.12	+	8.42	1.31E-01	1.00E00
pattern specification involved in kidney development (GO:0061004)	5	1	.12	+	8.42	1.31E-01	1.00E00
post-embryonic development (GO:0009791)	5	1	.12	+	8.42	1.31E-01	1.00E00
lens fiber cell morphogenesis (GO:0070309)	5	1	.12	+	8.42	1.31E-01	1.00E00
positive regulation of DNA replication (GO:0045740)	5	1	.12	+	8.42	1.31E-01	1.00E00
embryonic skeletal joint development (GO:0072498)	5	1	.12	+	8.42	1.31E-01	1.00E00
glial cell fate commitment (GO:0021781)	5	1	.12	+	8.42	1.31E-01	1.00E00
glial cell fate specification (GO:0021780)	5	1	.12	+	8.42	1.31E-01	1.00E00
oligodendrocyte cell fate commitment (GO:0021779)	5	1	.12	+	8.42	1.31E-01	1.00E00
oligodendrocyte cell fate specification (GO:0021778)	5	1	.12	+	8.42	1.31E-01	1.00E00
olfactory bulb development (GO:0021772)	5	1	.12	+	8.42	1.31E-01	1.00E00
pattern specification involved in pronephros development (GO:0039017)	5	1	.12	+	8.42	1.31E-01	1.00E00
ruffle organization (GO:0031529)	5	1	.12	+	8.42	1.31E-01	1.00E00
axonal fasciculation (GO:0007413)	10	2	.24	+	8.42	3.04E-02	6.33E-01
nitrogen cycle metabolic process (GO:0071941)	5	1	.12	+	8.42	1.31E-01	1.00E00
enteroendocrine cell differentiation (GO:0035883)	30	6	.71	+	8.42	1.64E-04	8.69E-03
ectoderm development (GO:0007398)	5	1	.12	+	8.42	1.31E-01	1.00E00
olfactory nerve formation (GO:0021628)	5	1	.12	+	8.42	1.31E-01	1.00E00
olfactory nerve morphogenesis (GO:0021627)	5	1	.12	+	8.42	1.31E-01	1.00E00
cranial nerve morphogenesis (GO:0021602)	20	4	.48	+	8.42	2.11E-03	8.35E-02
central nervous system neuron differentiation (GO:0021953)	99	19	2.35	+	8.08	3.20E-11	4.36E-09
metencephalon development (GO:0022037)	47	9	1.12	+	8.06	5.25E-06	3.37E-04
forebrain neuron differentiation (GO:0021879)	21	4	.50	+	8.02	2.46E-03	9.58E-02
optic nerve development (GO:0021554)	16	3	.38	+	7.89	9.13E-03	2.78E-01
ephrin receptor signaling pathway (GO:0048013)	16	3	.38	+	7.89	9.13E-03	2.77E-01
aorta development (GO:0035904)	16	3	.38	+	7.89	9.13E-03	2.76E-01
hindbrain development (GO:0030902)	103	19	2.45	+	7.76	5.83E-11	7.37E-09
diencephalon development (GO:0021536)	71	13	1.69	+	7.71	6.84E-08	5.88E-06
rhombomere morphogenesis (GO:0021593)	11	2	.26	+	7.65	3.54E-02	7.13E-01
ectodermal placode development (GO:0071696)	33	6	.78	+	7.65	2.59E-04	1.32E-02
positive regulation of cell cycle G1/S phase transition (GO:1902808)	11	2	.26	+	7.65	3.54E-02	7.11E-01
neuron projection regeneration (GO:0031102)	22	4	.52	+	7.65	2.86E-03	1.09E-01
microtubule depolymerization (GO:0007019)	11	2	.26	+	7.65	3.54E-02	7.09E-01
formation of anatomical boundary (GO:0048859)	11	2	.26	+	7.65	3.54E-02	7.08E-01
regulation of neuron projection regeneration (GO:0070570)	11	2	.26	+	7.65	3.54E-02	7.06E-01
regulation of axon regeneration (GO:0048679)	11	2	.26	+	7.65	3.54E-02	7.04E-01
neuron fate specification (GO:0048665)	28	5	.67	+	7.52	9.17E-04	4.00E-02
nerve development (GO:0021675)	62	11	1.47	+	7.47	9.23E-07	6.61E-05
closure of optic fissure (GO:0061386)	17	3	.40	+	7.43	1.06E-02	3.03E-01
regulation of peptide hormone secretion (GO:0090276)	17	3	.40	+	7.43	1.06E-02	3.02E-01
peripheral nervous system development (GO:0007422)	59	10	1.40	+	7.13	4.16E-06	2.73E-04
ventral spinal cord interneuron specification (GO:0021521)	6	1	.14	+	7.01	1.52E-01	1.00E00
positive regulation of NIK/NF-kappaB signaling (GO:1901224)	6	1	.14	+	7.01	1.52E-01	1.00E00
inactivation of MAPK activity (GO:0000188)	12	2	.29	+	7.01	4.07E-02	7.79E-01
positive regulation of potassium ion transport (GO:0043268)	6	1	.14	+	7.01	1.52E-01	1.00E00
synaptonemal complex assembly (GO:0007130)	6	1	.14	+	7.01	1.52E-01	1.00E00
olfactory placode morphogenesis (GO:0071699)	6	1	.14	+	7.01	1.52E-01	1.00E00
S-adenosylmethionine cycle (GO:0033353)	6	1	.14	+	7.01	1.52E-01	1.00E00
regulation of vitamin metabolic process (GO:0030656)	6	1	.14	+	7.01	1.52E-01	1.00E00
positive regulation of synapse assembly (GO:0051965)	6	1	.14	+	7.01	1.52E-01	1.00E00
positive regulation of histone modification (GO:0031058)	12	2	.29	+	7.01	4.07E-02	7.77E-01
cellular glucose homeostasis (GO:0001678)	12	2	.29	+	7.01	4.07E-02	7.75E-01
regulation of peptidyl-lysine acetylation (GO:2000756)	6	1	.14	+	7.01	1.52E-01	1.00E00
positive regulation of interleukin-1 production (GO:0032732)	6	1	.14	+	7.01	1.52E-01	1.00E00
glandular epithelial cell development (GO:0002068)	18	3	.43	+	7.01	1.21E-02	3.38E-01
RNA polymerase III preinitiation complex assembly (GO:0070898)	6	1	.14	+	7.01	1.52E-01	1.00E00
multi-organism behavior (GO:0051705)	6	1	.14	+	7.01	1.52E-01	1.00E00
ionotropic glutamate receptor signaling pathway (GO:0035235)	6	1	.14	+	7.01	1.52E-01	1.00E00
secondary metabolite biosynthetic process (GO:0044550)	6	1	.14	+	7.01	1.52E-01	1.00E00
lung development (GO:0030324)	6	1	.14	+	7.01	1.52E-01	1.00E00
respiratory tube development (GO:0030323)	6	1	.14	+	7.01	1.52E-01	1.00E00
membrane disruption in other organism (GO:0051673)	6	1	.14	+	7.01	1.52E-01	1.00E00
dendritic spine development (GO:0060996)	6	1	.14	+	7.01	1.52E-01	1.00E00
regulation of protein acetylation (GO:1901983)	6	1	.14	+	7.01	1.52E-01	1.00E00
endocardial cell differentiation (GO:0060956)	6	1	.14	+	7.01	1.52E-01	1.00E00
forebrain morphogenesis (GO:0048853)	6	1	.14	+	7.01	1.52E-01	1.00E00
regulation of histone acetylation (GO:0035065)	6	1	.14	+	7.01	1.52E-01	1.00E00
pyrimidine nucleobase biosynthetic process (GO:0019856)	6	1	.14	+	7.01	1.52E-01	1.00E00
swim bladder morphogenesis (GO:0048795)	6	1	.14	+	7.01	1.52E-01	1.00E00
stem cell population maintenance (GO:0019827)	12	2	.29	+	7.01	4.07E-02	7.74E-01
regulation of hormone metabolic process (GO:0032350)	6	1	.14	+	7.01	1.52E-01	1.00E00
microtubule nucleation by interphase microtubule organizing center (GO:0051415)	6	1	.14	+	7.01	1.52E-01	1.00E00
cardiac endothelial cell differentiation (GO:0003348)	6	1	.14	+	7.01	1.52E-01	1.00E00
fluid transport (GO:0042044)	6	1	.14	+	7.01	1.52E-01	1.00E00
insulin secretion (GO:0030073)	12	2	.29	+	7.01	4.07E-02	7.72E-01
negative regulation of reproductive process (GO:2000242)	6	1	.14	+	7.01	1.52E-01	1.00E00
lamellipodium assembly (GO:0030032)	6	1	.14	+	7.01	1.52E-01	1.00E00
negative regulation of telomere maintenance (GO:0032205)	6	1	.14	+	7.01	1.52E-01	1.00E00
nucleoside transmembrane transport (GO:1901642)	6	1	.14	+	7.01	1.52E-01	1.00E00
dendritic spine organization (GO:0097061)	6	1	.14	+	7.01	1.52E-01	1.00E00
intestinal epithelial cell differentiation (GO:0060575)	6	1	.14	+	7.01	1.52E-01	1.00E00
cell fate specification involved in pattern specification (GO:0060573)	6	1	.14	+	7.01	1.52E-01	1.00E00
sympathetic nervous system development (GO:0048485)	6	1	.14	+	7.01	1.52E-01	1.00E00
lens fiber cell development (GO:0070307)	6	1	.14	+	7.01	1.52E-01	1.00E00
positive regulation of interleukin-1 secretion (GO:0050716)	6	1	.14	+	7.01	1.52E-01	1.00E00
regulation of interleukin-1 secretion (GO:0050704)	6	1	.14	+	7.01	1.52E-01	1.00E00
positive regulation of insulin secretion (GO:0032024)	6	1	.14	+	7.01	1.52E-01	1.00E00
skeletal muscle cell differentiation (GO:0035914)	12	2	.29	+	7.01	4.07E-02	7.70E-01
facial nucleus development (GO:0021754)	6	1	.14	+	7.01	1.52E-01	1.00E00
epithelial cell proliferation (GO:0050673)	24	4	.57	+	7.01	3.78E-03	1.36E-01
cone photoresponse recovery (GO:0036368)	6	1	.14	+	7.01	1.52E-01	1.00E00
regulation of erythrocyte differentiation (GO:0045646)	6	1	.14	+	7.01	1.52E-01	1.00E00
synaptonemal complex organization (GO:0070193)	6	1	.14	+	7.01	1.52E-01	1.00E00
intrinsic apoptotic signaling pathway by p53 class mediator (GO:0072332)	12	2	.29	+	7.01	4.07E-02	7.69E-01
optic nerve formation (GO:0021634)	6	1	.14	+	7.01	1.52E-01	1.00E00
positive regulation of potassium ion transmembrane transport (GO:1901381)	6	1	.14	+	7.01	1.52E-01	1.00E00
hindbrain morphogenesis (GO:0021575)	31	5	.74	+	6.79	1.38E-03	5.71E-02
optic cup morphogenesis involved in camera-type eye development (GO:0002072)	19	3	.45	+	6.65	1.38E-02	3.66E-01
pronephric glomerulus morphogenesis (GO:0035775)	13	2	.31	+	6.47	4.62E-02	7.63E-01
floor plate morphogenesis (GO:0033505)	13	2	.31	+	6.47	4.62E-02	7.61E-01
rhombomere development (GO:0021546)	13	2	.31	+	6.47	4.62E-02	7.60E-01
floor plate formation (GO:0021508)	13	2	.31	+	6.47	4.62E-02	7.58E-01
inner ear receptor cell development (GO:0060119)	26	4	.62	+	6.47	4.87E-03	1.73E-01
columnar/cuboidal epithelial cell differentiation (GO:0002065)	52	8	1.24	+	6.47	7.09E-05	4.01E-03
branching involved in blood vessel morphogenesis (GO:0001569)	13	2	.31	+	6.47	4.62E-02	7.57E-01
posterior lateral line neuromast hair cell differentiation (GO:0048923)	13	2	.31	+	6.47	4.62E-02	7.56E-01
cellular component maintenance (GO:0043954)	13	2	.31	+	6.47	4.62E-02	7.54E-01
venous blood vessel development (GO:0060841)	13	2	.31	+	6.47	4.62E-02	7.53E-01
branching morphogenesis of an epithelial tube (GO:0048754)	13	2	.31	+	6.47	4.62E-02	7.51E-01
positive regulation of mRNA catabolic process (GO:0061014)	13	2	.31	+	6.47	4.62E-02	7.50E-01
dorsal aorta development (GO:0035907)	13	2	.31	+	6.47	4.62E-02	7.48E-01
cranial nerve formation (GO:0021603)	13	2	.31	+	6.47	4.62E-02	7.47E-01
neuron fate commitment (GO:0048663)	40	6	.95	+	6.31	6.48E-04	2.98E-02
neural tube development (GO:0021915)	80	12	1.90	+	6.31	1.46E-06	1.01E-04
type B pancreatic cell differentiation (GO:0003309)	27	4	.64	+	6.24	5.49E-03	1.91E-01
forebrain development (GO:0030900)	123	18	2.92	+	6.16	5.05E-09	5.35E-07
cranial nerve development (GO:0021545)	48	7	1.14	+	6.14	2.70E-04	1.37E-02
regulation of neurogenesis (GO:0050767)	265	38	6.30	+	6.04	2.54E-17	6.23E-15
nucleate erythrocyte differentiation (GO:0043363)	7	1	.17	+	6.01	1.71E-01	1.00E00
histone lysine demethylation (GO:0070076)	7	1	.17	+	6.01	1.71E-01	1.00E00
intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress (GO:0070059)	7	1	.17	+	6.01	1.71E-01	1.00E00
histone demethylation (GO:0016577)	7	1	.17	+	6.01	1.71E-01	1.00E00
photoreceptor cell maintenance (GO:0045494)	14	2	.33	+	6.01	5.21E-02	8.16E-01
activation of MAPKKK activity (GO:0000185)	7	1	.17	+	6.01	1.71E-01	1.00E00
positive regulation of transcription from RNA polymerase II promoter in response to stress (GO:0036003)	7	1	.17	+	6.01	1.71E-01	1.00E00
negative regulation of cell cycle G1/S phase transition (GO:1902807)	7	1	.17	+	6.01	1.71E-01	1.00E00
regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	35	5	.83	+	6.01	2.23E-03	8.77E-02
determination of left/right asymmetry in nervous system (GO:0035545)	7	1	.17	+	6.01	1.71E-01	1.00E00
regulation of stem cell proliferation (GO:0072091)	7	1	.17	+	6.01	1.71E-01	1.00E00
regulation of vascular permeability (GO:0043114)	7	1	.17	+	6.01	1.71E-01	1.00E00
caudal fin development (GO:0033336)	7	1	.17	+	6.01	1.71E-01	1.00E00
muscle cell fate commitment (GO:0042693)	7	1	.17	+	6.01	1.71E-01	1.00E00
ornithine metabolic process (GO:0006591)	7	1	.17	+	6.01	1.71E-01	1.00E00
