




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-12-09
Analyzed List:	cluster5.txt (Danio rerio)
Reference List:	backgroundlist_35562genes.txt (Danio rerio)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	backgroundlist_35562genes.txt - REFLIST (23232)	cluster5.txt (452)	cluster5.txt (expected)	cluster5.txt (over/under)	cluster5.txt (fold Enrichment)	cluster5.txt (raw P-value)	cluster5.txt (FDR)
negative regulation of cell cycle G2/M phase transition (GO:1902750)	16	4	.31	+	12.85	4.98E-04	1.49E-02
regulation of cytokinesis (GO:0032465)	30	5	.58	+	8.57	5.01E-04	1.50E-02
developmental growth (GO:0048589)	246	14	4.79	+	2.93	5.11E-04	1.52E-02
growth (GO:0040007)	246	14	4.79	+	2.93	5.11E-04	1.52E-02
regulation of mitotic cell cycle phase transition (GO:1901990)	67	7	1.30	+	5.37	5.27E-04	1.56E-02
cellular component assembly (GO:0022607)	1112	39	21.63	+	1.80	5.42E-04	1.59E-02
negative regulation of neuron differentiation (GO:0045665)	48	6	.93	+	6.42	5.56E-04	1.62E-02
ameboidal-type cell migration (GO:0001667)	191	12	3.72	+	3.23	5.58E-04	1.62E-02
regulation of cell division (GO:0051302)	48	6	.93	+	6.42	5.56E-04	1.63E-02
tube morphogenesis (GO:0035239)	465	21	9.05	+	2.32	5.55E-04	1.63E-02
DNA repair (GO:0006281)	249	14	4.84	+	2.89	5.73E-04	1.66E-02
establishment of localization (GO:0051234)	2578	28	50.16	-	.56	5.98E-04	1.73E-02
chromosome separation (GO:0051304)	17	4	.33	+	12.09	6.05E-04	1.74E-02
definitive hemopoiesis (GO:0060216)	49	6	.95	+	6.29	6.14E-04	1.76E-02
DNA recombination (GO:0006310)	116	9	2.26	+	3.99	6.74E-04	1.92E-02
regulation of cell morphogenesis involved in differentiation (GO:0010769)	117	9	2.28	+	3.95	7.14E-04	2.03E-02
regulation of DNA replication (GO:0006275)	18	4	.35	+	11.42	7.29E-04	2.05E-02
diencephalon development (GO:0021536)	71	7	1.38	+	5.07	7.24E-04	2.05E-02
protein monoubiquitination (GO:0006513)	18	4	.35	+	11.42	7.29E-04	2.06E-02
negative regulation of gene expression, epigenetic (GO:0045814)	33	5	.64	+	7.79	7.40E-04	2.06E-02
chromatin silencing (GO:0006342)	33	5	.64	+	7.79	7.40E-04	2.07E-02
chromatin organization involved in negative regulation of transcription (GO:0097549)	33	5	.64	+	7.79	7.40E-04	2.08E-02
regulation of plasma membrane bounded cell projection organization (GO:0120035)	198	12	3.85	+	3.12	7.53E-04	2.09E-02
regulation of cell projection organization (GO:0031344)	200	12	3.89	+	3.08	8.18E-04	2.27E-02
microtubule-based process (GO:0007017)	408	19	7.94	+	2.39	8.64E-04	2.39E-02
reproductive process (GO:0022414)	231	13	4.49	+	2.89	8.84E-04	2.43E-02
retina development in camera-type eye (GO:0060041)	202	12	3.93	+	3.05	8.88E-04	2.44E-02
circulatory system development (GO:0072359)	769	29	14.96	+	1.94	9.00E-04	2.46E-02
regulation of mRNA splicing, via spliceosome (GO:0048024)	74	7	1.44	+	4.86	9.08E-04	2.48E-02
cell fate commitment (GO:0045165)	148	10	2.88	+	3.47	9.43E-04	2.57E-02
hematopoietic progenitor cell differentiation (GO:0002244)	75	7	1.46	+	4.80	9.77E-04	2.65E-02
primitive erythrocyte differentiation (GO:0060319)	20	4	.39	+	10.28	1.03E-03	2.77E-02
reproduction (GO:0000003)	235	13	4.57	+	2.84	1.03E-03	2.77E-02
regulation of cell morphogenesis (GO:0022604)	206	12	4.01	+	2.99	1.04E-03	2.80E-02
autonomic nervous system development (GO:0048483)	36	5	.70	+	7.14	1.05E-03	2.81E-02
retinal ganglion cell axon guidance (GO:0031290)	36	5	.70	+	7.14	1.05E-03	2.82E-02
anatomical structure formation involved in morphogenesis (GO:0048646)	625	25	12.16	+	2.06	1.09E-03	2.91E-02
gliogenesis (GO:0042063)	77	7	1.50	+	4.67	1.13E-03	2.99E-02
regulation of alternative mRNA splicing, via spliceosome (GO:0000381)	56	6	1.09	+	5.51	1.16E-03	3.08E-02
chromatin organization involved in regulation of transcription (GO:0034401)	37	5	.72	+	6.95	1.18E-03	3.09E-02
regulation of chromosome segregation (GO:0051983)	37	5	.72	+	6.95	1.18E-03	3.10E-02
fin development (GO:0033333)	78	7	1.52	+	4.61	1.21E-03	3.15E-02
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	21	4	.41	+	9.79	1.20E-03	3.16E-02
Wnt signaling pathway (GO:0016055)	128	9	2.49	+	3.61	1.29E-03	3.37E-02
axis elongation (GO:0003401)	38	5	.74	+	6.76	1.31E-03	3.41E-02
double-strand break repair (GO:0006302)	103	8	2.00	+	3.99	1.32E-03	3.41E-02
regulation of centrosome duplication (GO:0010824)	9	3	.18	+	17.13	1.34E-03	3.45E-02
cell-cell signaling by wnt (GO:0198738)	129	9	2.51	+	3.59	1.36E-03	3.49E-02
positive regulation of catalytic activity (GO:0043085)	393	18	7.65	+	2.35	1.36E-03	3.49E-02
regulation of binding (GO:0051098)	22	4	.43	+	9.35	1.40E-03	3.56E-02
neural precursor cell proliferation (GO:0061351)	22	4	.43	+	9.35	1.40E-03	3.57E-02
neural nucleus development (GO:0048857)	22	4	.43	+	9.35	1.40E-03	3.58E-02
ventricular system development (GO:0021591)	22	4	.43	+	9.35	1.40E-03	3.59E-02
histone acetylation (GO:0016573)	39	5	.76	+	6.59	1.46E-03	3.68E-02
protein-containing complex subunit organization (GO:0043933)	601	24	11.69	+	2.05	1.48E-03	3.72E-02
regulation of microtubule-based process (GO:0032886)	81	7	1.58	+	4.44	1.48E-03	3.72E-02
sensory system development (GO:0048880)	493	21	9.59	+	2.19	1.48E-03	3.72E-02
cellular component biogenesis (GO:0044085)	1244	41	24.20	+	1.69	1.50E-03	3.74E-02
posttranscriptional regulation of gene expression (GO:0010608)	158	10	3.07	+	3.25	1.50E-03	3.74E-02
embryonic pectoral fin morphogenesis (GO:0035118)	23	4	.45	+	8.94	1.62E-03	3.99E-02
double-strand break repair via homologous recombination (GO:0000724)	60	6	1.17	+	5.14	1.62E-03	4.00E-02
pharyngeal system development (GO:0060037)	23	4	.45	+	8.94	1.62E-03	4.01E-02
recombinational repair (GO:0000725)	60	6	1.17	+	5.14	1.62E-03	4.01E-02
protein localization to chromosome (GO:0034502)	10	3	.19	+	15.42	1.71E-03	4.12E-02
regulation of centrosome cycle (GO:0046605)	10	3	.19	+	15.42	1.71E-03	4.13E-02
appendage development (GO:0048736)	83	7	1.61	+	4.33	1.69E-03	4.14E-02
chemotaxis (GO:0006935)	361	17	7.02	+	2.42	1.69E-03	4.14E-02
cytokinetic process (GO:0032506)	10	3	.19	+	15.42	1.71E-03	4.15E-02
regulation of nucleocytoplasmic transport (GO:0046822)	10	3	.19	+	15.42	1.71E-03	4.16E-02
spinal cord patterning (GO:0021511)	10	3	.19	+	15.42	1.71E-03	4.17E-02
spinal cord dorsal/ventral patterning (GO:0021513)	10	3	.19	+	15.42	1.71E-03	4.18E-02
DNA integrity checkpoint (GO:0031570)	41	5	.80	+	6.27	1.78E-03	4.23E-02
positive regulation of cell cycle process (GO:0090068)	41	5	.80	+	6.27	1.78E-03	4.24E-02
internal peptidyl-lysine acetylation (GO:0018393)	41	5	.80	+	6.27	1.78E-03	4.26E-02
peptidyl-lysine acetylation (GO:0018394)	41	5	.80	+	6.27	1.78E-03	4.27E-02
internal protein amino acid acetylation (GO:0006475)	41	5	.80	+	6.27	1.78E-03	4.28E-02
regulation of anatomical structure morphogenesis (GO:0022603)	371	17	7.22	+	2.36	1.92E-03	4.54E-02
otic vesicle development (GO:0071599)	42	5	.82	+	6.12	1.96E-03	4.64E-02
developmental growth involved in morphogenesis (GO:0060560)	86	7	1.67	+	4.18	2.04E-03	4.75E-02
cell fate specification (GO:0001708)	86	7	1.67	+	4.18	2.04E-03	4.77E-02
taxis (GO:0042330)	375	17	7.30	+	2.33	2.03E-03	4.78E-02
muscle cell differentiation (GO:0042692)	194	11	3.77	+	2.91	2.03E-03	4.79E-02
cohesin loading (GO:0071921)	2	2	.04	+	51.40	2.13E-03	4.79E-02
positive regulation of sister chromatid cohesion (GO:0045876)	2	2	.04	+	51.40	2.13E-03	4.81E-02
positive regulation of protein localization to chromatin (GO:0120187)	2	2	.04	+	51.40	2.13E-03	4.82E-02
rDNA condensation (GO:0070550)	2	2	.04	+	51.40	2.13E-03	4.83E-02
formation of anatomical boundary (GO:0048859)	11	3	.21	+	14.02	2.15E-03	4.83E-02
positive regulation of nuclear cell cycle DNA replication (GO:0010571)	2	2	.04	+	51.40	2.13E-03	4.85E-02
gene looping (GO:0090202)	2	2	.04	+	51.40	2.13E-03	4.86E-02
corpora quadrigemina development (GO:0061378)	2	2	.04	+	51.40	2.13E-03	4.87E-02
dsDNA loop formation (GO:0090579)	2	2	.04	+	51.40	2.13E-03	4.88E-02
positive regulation of cohesin loading (GO:1905309)	2	2	.04	+	51.40	2.13E-03	4.90E-02
regulation of nuclear cell cycle DNA replication (GO:0033262)	2	2	.04	+	51.40	2.13E-03	4.91E-02
regulation of mitotic cohesin loading (GO:1905405)	2	2	.04	+	51.40	2.13E-03	4.92E-02
positive regulation of mitotic cohesin loading (GO:1905406)	2	2	.04	+	51.40	2.13E-03	4.94E-02
transcriptional activation by promoter-enhancer looping (GO:0071733)	2	2	.04	+	51.40	2.13E-03	4.95E-02
protein acylation (GO:0043543)	88	7	1.71	+	4.09	2.30E-03	5.16E-02
cell surface receptor signaling pathway involved in cell-cell signaling (GO:1905114)	140	9	2.72	+	3.30	2.31E-03	5.16E-02
RNA metabolic process (GO:0016070)	779	28	15.16	+	1.85	2.35E-03	5.25E-02
regulation of cellular response to growth factor stimulus (GO:0090287)	114	8	2.22	+	3.61	2.40E-03	5.34E-02
enteric nervous system development (GO:0048484)	26	4	.51	+	7.91	2.42E-03	5.35E-02
regulation of mitotic sister chromatid segregation (GO:0033047)	26	4	.51	+	7.91	2.42E-03	5.36E-02
epithelial to mesenchymal transition (GO:0001837)	26	4	.51	+	7.91	2.42E-03	5.38E-02
cellular protein-containing complex assembly (GO:0034622)	387	17	7.53	+	2.26	2.51E-03	5.52E-02
negative regulation of Wnt signaling pathway (GO:0030178)	66	6	1.28	+	4.67	2.52E-03	5.53E-02
regulation of axon extension (GO:0030516)	66	6	1.28	+	4.67	2.52E-03	5.55E-02
G2 DNA damage checkpoint (GO:0031572)	12	3	.23	+	12.85	2.65E-03	5.76E-02
endocardium development (GO:0003157)	12	3	.23	+	12.85	2.65E-03	5.78E-02
anterior/posterior axon guidance (GO:0033564)	12	3	.23	+	12.85	2.65E-03	5.79E-02
glial cell differentiation (GO:0010001)	67	6	1.30	+	4.60	2.71E-03	5.88E-02
regulation of canonical Wnt signaling pathway (GO:0060828)	91	7	1.77	+	3.95	2.74E-03	5.91E-02
convergent extension involved in axis elongation (GO:0060028)	27	4	.53	+	7.61	2.74E-03	5.91E-02
neuron migration (GO:0001764)	27	4	.53	+	7.61	2.74E-03	5.93E-02
dorsal/ventral pattern formation (GO:0009953)	117	8	2.28	+	3.51	2.79E-03	5.99E-02
posterior lateral line system development (GO:0048915)	68	6	1.32	+	4.54	2.90E-03	6.21E-02
cellular amide metabolic process (GO:0043603)	466	1	9.07	-	.11	2.91E-03	6.22E-02
regulation of growth (GO:0040008)	119	8	2.32	+	3.46	3.07E-03	6.56E-02
pectoral fin morphogenesis (GO:0035138)	28	4	.54	+	7.34	3.08E-03	6.56E-02
convergent extension involved in gastrulation (GO:0060027)	69	6	1.34	+	4.47	3.10E-03	6.58E-02
positive regulation of transcription by RNA polymerase II (GO:0045944)	457	19	8.89	+	2.14	3.16E-03	6.68E-02
dorsal convergence (GO:0060030)	13	3	.25	+	11.86	3.21E-03	6.77E-02
rhombomere development (GO:0021546)	13	3	.25	+	11.86	3.21E-03	6.79E-02
regulation of developmental growth (GO:0048638)	94	7	1.83	+	3.83	3.25E-03	6.82E-02
positive regulation of cell cycle (GO:0045787)	48	5	.93	+	5.35	3.35E-03	7.02E-02
anion transport (GO:0006820)	318	0	6.19	-	 < 0.01	3.36E-03	7.03E-02
establishment of protein localization to chromosome (GO:0070199)	3	2	.06	+	34.27	3.50E-03	7.06E-02
replication-born double-strand break repair via sister chromatid exchange (GO:1990414)	3	2	.06	+	34.27	3.50E-03	7.07E-02
tongue development (GO:0043586)	3	2	.06	+	34.27	3.50E-03	7.09E-02
tongue morphogenesis (GO:0043587)	3	2	.06	+	34.27	3.50E-03	7.11E-02
mechanosensory lateral line system development (GO:0048881)	71	6	1.38	+	4.34	3.54E-03	7.12E-02
regulation of chromatin silencing at rDNA (GO:0061187)	3	2	.06	+	34.27	3.50E-03	7.12E-02
taste bud development (GO:0061193)	3	2	.06	+	34.27	3.50E-03	7.14E-02
taste bud morphogenesis (GO:0061194)	3	2	.06	+	34.27	3.50E-03	7.16E-02
taste bud formation (GO:0061195)	3	2	.06	+	34.27	3.50E-03	7.17E-02
protein localization to chromatin (GO:0071168)	3	2	.06	+	34.27	3.50E-03	7.19E-02
embryonic appendage morphogenesis (GO:0035113)	29	4	.56	+	7.09	3.46E-03	7.19E-02
establishment of protein localization to chromatin (GO:0071169)	3	2	.06	+	34.27	3.50E-03	7.21E-02
microtubule polymerization or depolymerization (GO:0031109)	29	4	.56	+	7.09	3.46E-03	7.21E-02
meiotic spindle organization (GO:0000212)	3	2	.06	+	34.27	3.50E-03	7.23E-02
meiotic chromosome condensation (GO:0010032)	3	2	.06	+	34.27	3.50E-03	7.24E-02
establishment of mitotic sister chromatid cohesion (GO:0034087)	3	2	.06	+	34.27	3.50E-03	7.26E-02
visual system development (GO:0150063)	406	17	7.90	+	2.15	3.65E-03	7.32E-02
eye development (GO:0001654)	406	17	7.90	+	2.15	3.65E-03	7.34E-02
regulation of molecular function (GO:0065009)	795	28	15.47	+	1.81	3.83E-03	7.66E-02
adenohypophysis development (GO:0021984)	14	3	.27	+	11.01	3.85E-03	7.67E-02
regulation of response to wounding (GO:1903034)	30	4	.58	+	6.85	3.86E-03	7.68E-02
fin morphogenesis (GO:0033334)	50	5	.97	+	5.14	3.93E-03	7.77E-02
primitive hemopoiesis (GO:0060215)	50	5	.97	+	5.14	3.93E-03	7.79E-02
cellular nitrogen compound metabolic process (GO:0034641)	1864	54	36.27	+	1.49	3.93E-03	7.80E-02
regulation of microtubule cytoskeleton organization (GO:0070507)	73	6	1.42	+	4.22	4.02E-03	7.92E-02
eye photoreceptor cell differentiation (GO:0001754)	51	5	.99	+	5.04	4.25E-03	8.37E-02
regulation of extent of cell growth (GO:0061387)	74	6	1.44	+	4.17	4.28E-03	8.39E-02
regulation of sister chromatid segregation (GO:0033045)	31	4	.60	+	6.63	4.29E-03	8.40E-02
cytoskeleton organization (GO:0007010)	737	26	14.34	+	1.81	4.35E-03	8.49E-02
sensory organ development (GO:0007423)	548	21	10.66	+	1.97	4.45E-03	8.68E-02
DNA replication (GO:0006260)	100	7	1.95	+	3.60	4.47E-03	8.69E-02
pons development (GO:0021548)	15	3	.29	+	10.28	4.55E-03	8.81E-02
photoreceptor cell differentiation (GO:0046530)	75	6	1.46	+	4.11	4.55E-03	8.82E-02
heart jogging (GO:0003146)	32	4	.62	+	6.42	4.76E-03	9.17E-02
muscle structure development (GO:0061061)	283	13	5.51	+	2.36	4.77E-03	9.17E-02
regulation of intracellular transport (GO:0032386)	32	4	.62	+	6.42	4.76E-03	9.19E-02
appendage morphogenesis (GO:0035107)	53	5	1.03	+	4.85	4.95E-03	9.49E-02
axon target recognition (GO:0007412)	4	2	.08	+	25.70	5.18E-03	9.64E-02
positive regulation of DNA-dependent DNA replication (GO:2000105)	4	2	.08	+	25.70	5.18E-03	9.66E-02
camera-type eye development (GO:0043010)	345	15	6.71	+	2.23	5.05E-03	9.67E-02
positive regulation of nucleobase-containing compound transport (GO:0032241)	4	2	.08	+	25.70	5.18E-03	9.68E-02
negative regulation of centrosome cycle (GO:0046606)	4	2	.08	+	25.70	5.18E-03	9.70E-02
positive regulation of ubiquitin protein ligase activity (GO:1904668)	4	2	.08	+	25.70	5.18E-03	9.72E-02
negative regulation of centrosome duplication (GO:0010826)	4	2	.08	+	25.70	5.18E-03	9.74E-02
positive regulation of nucleocytoplasmic transport (GO:0046824)	4	2	.08	+	25.70	5.18E-03	9.76E-02
positive regulation of RNA export from nucleus (GO:0046833)	4	2	.08	+	25.70	5.18E-03	9.79E-02
histone H3-K27 demethylation (GO:0071557)	4	2	.08	+	25.70	5.18E-03	9.81E-02
muscle cell fate specification (GO:0042694)	4	2	.08	+	25.70	5.18E-03	9.83E-02
neuroepithelial cell differentiation (GO:0060563)	16	3	.31	+	9.64	5.33E-03	9.83E-02
thymus development (GO:0048538)	16	3	.31	+	9.64	5.33E-03	9.85E-02
cardioblast differentiation (GO:0010002)	4	2	.08	+	25.70	5.18E-03	9.85E-02
pituitary gland development (GO:0021983)	16	3	.31	+	9.64	5.33E-03	9.87E-02
positive regulation of DNA binding (GO:0043388)	4	2	.08	+	25.70	5.18E-03	9.87E-02
cardiocyte differentiation (GO:0035051)	54	5	1.05	+	4.76	5.32E-03	9.88E-02
establishment of sister chromatid cohesion (GO:0034085)	4	2	.08	+	25.70	5.18E-03	9.89E-02
primary metabolic process (GO:0044238)	5024	123	97.75	+	1.26	5.63E-03	1.04E-01
neural retina development (GO:0003407)	79	6	1.54	+	3.90	5.75E-03	1.06E-01
centrosome cycle (GO:0007098)	34	4	.66	+	6.05	5.79E-03	1.06E-01
nucleic acid transport (GO:0050657)	56	5	1.09	+	4.59	6.13E-03	1.11E-01
regulation of catalytic activity (GO:0050790)	645	23	12.55	+	1.83	6.08E-03	1.11E-01
urogenital system development (GO:0001655)	164	9	3.19	+	2.82	6.16E-03	1.11E-01
RNA transport (GO:0050658)	56	5	1.09	+	4.59	6.13E-03	1.11E-01
notochord cell differentiation (GO:0060034)	17	3	.33	+	9.07	6.18E-03	1.12E-01
establishment of RNA localization (GO:0051236)	56	5	1.09	+	4.59	6.13E-03	1.12E-01
glomerulus development (GO:0032835)	56	5	1.09	+	4.59	6.13E-03	1.12E-01
cellular metabolic process (GO:0044237)	5018	122	97.63	+	1.25	6.76E-03	1.22E-01
positive regulation of binding (GO:0051099)	5	2	.10	+	20.56	7.16E-03	1.23E-01
regulation of cohesin loading (GO:0071922)	5	2	.10	+	20.56	7.16E-03	1.23E-01
positive regulation of DNA replication (GO:0045740)	5	2	.10	+	20.56	7.16E-03	1.24E-01
regulation of nucleobase-containing compound transport (GO:0032239)	5	2	.10	+	20.56	7.16E-03	1.24E-01
regulation of intrinsic apoptotic signaling pathway by p53 class mediator (GO:1902253)	5	2	.10	+	20.56	7.16E-03	1.24E-01
hematopoietic or lymphoid organ development (GO:0048534)	362	15	7.04	+	2.13	6.92E-03	1.24E-01
endocrine system development (GO:0035270)	109	7	2.12	+	3.30	6.91E-03	1.24E-01
regulation of histone H3-K9 methylation (GO:0051570)	5	2	.10	+	20.56	7.16E-03	1.24E-01
'de novo' IMP biosynthetic process (GO:0006189)	5	2	.10	+	20.56	7.16E-03	1.25E-01
assembly of actomyosin apparatus involved in cytokinesis (GO:0000912)	5	2	.10	+	20.56	7.16E-03	1.25E-01
actomyosin contractile ring assembly (GO:0000915)	5	2	.10	+	20.56	7.16E-03	1.25E-01
transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000972)	5	2	.10	+	20.56	7.16E-03	1.25E-01
meiotic nuclear division (GO:0140013)	58	5	1.13	+	4.43	7.02E-03	1.26E-01
regulation of ubiquitin protein ligase activity (GO:1904666)	5	2	.10	+	20.56	7.16E-03	1.26E-01
posterior lateral line development (GO:0048916)	58	5	1.13	+	4.43	7.02E-03	1.26E-01
regulation of glycogen metabolic process (GO:0070873)	5	2	.10	+	20.56	7.16E-03	1.26E-01
regulation of RNA export from nucleus (GO:0046831)	5	2	.10	+	20.56	7.16E-03	1.26E-01
actomyosin contractile ring organization (GO:0044837)	5	2	.10	+	20.56	7.16E-03	1.26E-01
regulation of sister chromatid cohesion (GO:0007063)	5	2	.10	+	20.56	7.16E-03	1.27E-01
mitotic DNA damage checkpoint (GO:0044773)	18	3	.35	+	8.57	7.11E-03	1.27E-01
mitotic DNA replication checkpoint (GO:0033314)	5	2	.10	+	20.56	7.16E-03	1.27E-01
regulation of protein localization to chromatin (GO:1905634)	5	2	.10	+	20.56	7.16E-03	1.27E-01
organic acid metabolic process (GO:0006082)	491	2	9.55	-	.21	7.15E-03	1.27E-01
regulation of cellular localization (GO:0060341)	84	6	1.63	+	3.67	7.56E-03	1.30E-01
smoothened signaling pathway (GO:0007224)	37	4	.72	+	5.56	7.59E-03	1.30E-01
immune system development (GO:0002520)	368	15	7.16	+	2.10	7.78E-03	1.33E-01
organelle assembly (GO:0070925)	434	17	8.44	+	2.01	7.89E-03	1.35E-01
nucleocytoplasmic transport (GO:0006913)	85	6	1.65	+	3.63	7.97E-03	1.35E-01
nuclear transport (GO:0051169)	85	6	1.65	+	3.63	7.97E-03	1.35E-01
epithelial cell development (GO:0002064)	85	6	1.65	+	3.63	7.97E-03	1.36E-01
demethylation (GO:0070988)	19	3	.37	+	8.12	8.12E-03	1.37E-01
optic cup morphogenesis involved in camera-type eye development (GO:0002072)	19	3	.37	+	8.12	8.12E-03	1.37E-01
peptidyl-lysine modification (GO:0018205)	113	7	2.20	+	3.18	8.27E-03	1.39E-01
negative regulation of neuron projection development (GO:0010977)	38	4	.74	+	5.41	8.27E-03	1.39E-01
microtubule organizing center organization (GO:0031023)	38	4	.74	+	5.41	8.27E-03	1.39E-01
striated muscle cell differentiation (GO:0051146)	173	9	3.37	+	2.67	8.47E-03	1.42E-01
notochord development (GO:0030903)	61	5	1.19	+	4.21	8.53E-03	1.43E-01
oxidation-reduction process (GO:0055114)	654	4	12.72	-	.31	8.63E-03	1.44E-01
negative regulation of cell projection organization (GO:0031345)	39	4	.76	+	5.27	8.98E-03	1.50E-01
facial nucleus development (GO:0021754)	6	2	.12	+	17.13	9.43E-03	1.55E-01
cell fate specification involved in pattern specification (GO:0060573)	6	2	.12	+	17.13	9.43E-03	1.55E-01
intestinal epithelial cell differentiation (GO:0060575)	6	2	.12	+	17.13	9.43E-03	1.55E-01
centromeric sister chromatid cohesion (GO:0070601)	6	2	.12	+	17.13	9.43E-03	1.56E-01
membrane disruption in other organism (GO:0051673)	6	2	.12	+	17.13	9.43E-03	1.56E-01
organic substance metabolic process (GO:0071704)	5351	128	104.11	+	1.23	9.54E-03	1.56E-01
regulation of polysaccharide metabolic process (GO:0032881)	6	2	.12	+	17.13	9.43E-03	1.56E-01
neural plate morphogenesis (GO:0001839)	6	2	.12	+	17.13	9.43E-03	1.56E-01
ventral spinal cord interneuron specification (GO:0021521)	6	2	.12	+	17.13	9.43E-03	1.57E-01
embryonic pattern specification (GO:0009880)	40	4	.78	+	5.14	9.73E-03	1.59E-01
RNA export from nucleus (GO:0006405)	40	4	.78	+	5.14	9.73E-03	1.59E-01
cell migration (GO:0016477)	520	19	10.12	+	1.88	9.98E-03	1.63E-01
positive regulation of hydrolase activity (GO:0051345)	178	9	3.46	+	2.60	1.00E-02	1.63E-01
regulation of cell growth (GO:0001558)	90	6	1.75	+	3.43	1.02E-02	1.66E-01
RNA localization (GO:0006403)	64	5	1.25	+	4.02	1.02E-02	1.66E-01
DNA replication initiation (GO:0006270)	21	3	.41	+	7.34	1.04E-02	1.67E-01
camera-type eye morphogenesis (GO:0048593)	148	8	2.88	+	2.78	1.04E-02	1.67E-01
